,mean_temp
10896,5.6
10368,14.0
14838,19.6
582,18.0
4923,17.4
4304,18.4
718,2.2
6753,13.6
10620,7.0
762,4.4
3844,21.2
1870,3.2
12869,7.0
6369,16.8
13464,13.4
11117,13.4
738,5.2
3545,12.8
9565,6.6
7914,16.0
6161,9.9
7534,16.5
7852,17.6
12572,14.0
6088,17.1
8031,2.2
10164,13.5
9443,10.9
6431,19.4
750,4.7
3449,13.3
15103,17.1
14310,7.9
2329,15.4
3571,8.8
1839,6.9
10120,18.6
10797,22.0
1275,15.8
14628,3.0
10349,11.4
5020,16.2
10539,8.5
9377,19.8
4064,5.4
6315,13.6
9414,13.0
2264,5.1
8929,17.1
1536,9.8
4509,8.8
13573,4.9
5044,8.2
1369,12.8
740,2.7
10548,5.8
11999,10.6
1188,10.2
13767,18.6
10986,4.4
1570,5.4
9642,19.2
10284,8.0
2527,13.8
2127,8.7
12581,15.8
3487,15.2
10308,5.0
2764,17.8
5058,11.4
5261,13.4
5277,14.7
11232,12.8
12669,13.3
7092,16.5
1981,12.3
5267,15.4
4296,15.8
10862,14.4
3898,13.2
13181,-0.2
2057,21.2
3635,7.6
4921,17.2
13154,8.7
5528,3.2
12563,10.8
11973,15.7
3488,18.2
15080,10.8
6057,27.1
11510,19.4
6794,24.2
9292,19.6
9484,4.9
4104,8.4
10217,-0.2
1710,14.1
8297,13.1
6592,7.0
11477,19.4
562,14.6
12296,12.4
5790,11.2
640,11.1
1669,21.4
3000,3.7
7652,2.0
13709,16.7
13405,15.8
2407,14.6
12861,12.1
3611,3.2
7854,18.8
8163,11.0
9604,11.5
9195,7.5
8741,5.1
5687,17.8
2910,4.1
2742,17.2
13813,13.0
12387,1.7
4982,16.8
11878,17.8
13039,16.8
5763,12.2
2928,1.5
3166,18.7
5692,19.0
13577,4.8
15055,7.4
180,14.1
4450,10.1
11347,4.0
13699,16.2
2218,0.8
6501,12.0
1955,8.9
1057,12.9
6147,9.7
6690,10.6
11072,13.2
9294,16.6
1399,12.4
7217,10.0
10236,10.8
5846,0.2
10765,18.2
3068,14.9
7613,10.8
11396,7.9
2234,-2.6
6759,15.0
12026,4.8
12695,19.0
1210,12.6
4057,7.8
10679,8.8
2238,-0.4
11605,17.0
10995,0.2
2948,3.4
12044,10.4
8589,17.0
5502,7.4
4359,1.8
4486,9.2
11398,9.4
5751,13.4
4629,20.8
5556,7.5
5282,16.4
1434,8.0
15323,11.1
92,3.8
11652,0.2
2300,12.8
4404,3.9
11250,10.3
5736,10.6
13628,6.7
6515,14.3
8265,20.4
14848,24.9
14524,10.1
7782,11.5
10519,9.3
6909,3.2
9115,1.5
8091,1.9
3378,6.1
9573,13.9
1084,-0.4
9972,13.6
2777,16.9
5957,10.4
428,3.6
8922,15.6
7847,16.2
12018,11.8
5042,7.2
5290,18.7
15190,18.7
2698,11.8
6929,6.3
14887,13.8
3478,16.6
7410,6.3
11895,17.8
408,6.4
13100,10.7
13608,11.0
1608,9.8
14288,3.8
7488,21.0
9842,3.8
10226,10.2
14570,2.6
13355,15.6
