,sunshine,global_radiation,cloud_cover
4209,2.671493454570298,2.4795108780670354,-2.063393668297841
4098,0.6605541037280576,0.3965016745265559,-0.13141756361883955
13529,0.08954663373581641,-0.797006301556097,-1.0974056159583405
6282,-0.3573287775624594,-0.25654985955640514,0.8345704887206613
12646,-0.48146083625642483,0.14879247194336379,-1.0974056159583405
7306,0.38746357460133357,-0.797006301556097,-0.13141756361883955
12300,0.4122899863401266,0.44153971135986353,-0.61441158978859
1583,-0.8538570123383212,-0.16647378588978984,0.8345704887206613
68,-1.077294717987459,-0.8870823752227124,0.8345704887206613
3251,-1.077294717987459,-1.1685701054308852,0.8345704887206613
8961,2.5970142193539187,2.4006943136087466,-1.0974056159583405
3295,-1.077294717987459,-1.1798296146392122,1.3175645148904118
11525,0.5364220450340921,1.1283697730678053,-0.61441158978859
7802,-0.0594118366969423,0.632951367901421,0.8345704887206613
7741,1.1322559267651264,0.44153971135986353,-0.13141756361883955
2455,-1.077294717987459,-0.8420443383894047,0.8345704887206613
1595,-0.03458542495814907,0.6667298955264018,-0.61441158978859
11570,-0.4318080127788386,-0.07639771222317451,-0.13141756361883955
14623,-0.6304193066891834,-0.9884179580976545,0.35157646255091085
8294,1.256387985459092,0.655470386318075,-1.0974056159583405
8169,-1.077294717987459,-0.4704805345146165,1.3175645148904118
7583,1.3805200441530574,0.29516609165161367,-1.5803996421280908
13819,-1.077294717987459,-1.0897535409725967,0.35157646255091085
245,-0.6800721301667696,-0.24529035034807822,0.8345704887206613
3017,-0.48146083625642483,-0.0651382030148476,0.35157646255091085
5290,-0.4318080127788386,0.46405872977651735,0.8345704887206613
4751,-1.077294717987459,-1.191089123847539,1.3175645148904118
9535,-0.7297249536443557,-0.8758228660143854,-0.13141756361883955
4003,-1.0028154827710798,-1.1573105962225583,0.35157646255091085
6109,1.330867220675471,0.5541348034431327,-0.13141756361883955
12682,-1.077294717987459,-0.8420443383894047,-0.61441158978859
11662,-1.077294717987459,-1.191089123847539,1.3175645148904118
3781,1.8522218671901263,1.8377188531924011,-0.61441158978859
7030,-1.077294717987459,-0.7294492463061355,0.8345704887206613
673,-1.0028154827710798,-1.0221964857226353,0.35157646255091085
6532,-1.0524683062486662,-1.1235320685975776,0.8345704887206613
11634,-0.9779890710322867,-1.0221964857226353,1.3175645148904118
8653,1.7777426319737468,1.0045151717762093,-1.5803996421280908
7931,-1.077294717987459,-0.8195253199727509,1.3175645148904118
10667,-1.077294717987459,-0.8420443383894047,1.3175645148904118
7482,-0.08423824843573531,0.7680654784013441,0.35157646255091085
3024,-1.077294717987459,-0.6506326818478472,0.8345704887206613
12678,-0.9531626592934936,-0.6168541542228664,-0.61441158978859
13003,-0.5311136597340109,0.1713114903600176,-0.13141756361883955
2425,1.3556936324142643,1.2634838835677282,0.35157646255091085
12530,-0.18354389539090765,0.3402041284849213,0.35157646255091085
12773,-1.077294717987459,-1.202348633055866,0.8345704887206613
3753,-0.3573287775624594,0.08123541669340228,0.8345704887206613
13088,0.06472022199702318,-0.5605566081812319,-1.0974056159583405
7746,-1.077294717987459,-0.8307848291810778,1.3175645148904118
11584,-1.077294717987459,-0.8195253199727509,0.8345704887206613
13135,-1.077294717987459,-1.202348633055866,1.3175645148904118
3433,-0.13389107191332153,0.655470386318075,0.35157646255091085
4337,-1.077294717987459,-1.1347915778059046,1.3175645148904118
4280,-0.9035098358159074,-0.5943351358062126,0.35157646255091085
13637,1.032950279809954,1.2972624111927091,-1.0974056159583405
5226,-1.0524683062486662,-0.5155185713479241,1.3175645148904118
11468,-0.28284954234608,0.5316157850264789,0.8345704887206613
2517,-1.077294717987459,-1.1573105962225583,1.3175645148904118
8248,1.1322559267651264,1.421117012484305,0.35157646255091085
14727,-0.8042041888607351,-0.14395476747313599,1.3175645148904118
13434,-0.28284954234608,-0.4592210253062896,0.35157646255091085
2036,1.8770482789289193,1.8714973808173818,-1.5803996421280908
3065,0.38746357460133357,1.03829369940119,0.35157646255091085
13157,-0.4069816010400455,-0.9433799212643469,0.35157646255091085
