,mean_temp
8665,15.2
12050,7.3
8314,15.8
582,18.0
4921,17.2
10763,15.5
718,2.2
3710,5.1
10619,4.6
762,4.4
5711,18.0
1870,3.2
12868,5.9
6367,25.5
10319,7.4
7159,21.9
738,5.2
11545,17.3
12667,16.2
4863,12.2
8655,18.9
9778,12.2
5843,5.6
8634,19.2
8029,4.1
4265,14.8
13588,5.5
13230,6.6
750,4.7
3449,13.3
7524,19.8
10274,7.9
2329,15.4
9790,13.8
1839,6.9
5667,16.2
3852,20.2
1275,15.8
14627,2.9
10358,13.6
4679,8.9
10158,13.0
15017,5.6
14791,17.9
5775,11.0
15211,18.6
2264,5.1
11237,12.8
1536,9.8
10758,14.2
8447,5.6
13033,17.6
1369,12.8
740,2.7
10547,4.0
7460,13.4
1188,10.2
13766,19.8
9039,15.0
1570,5.4
11669,1.7
4077,4.8
2527,13.8
2127,8.7
6762,20.6
3487,15.2
10307,2.8
2764,17.8
11797,18.1
5999,14.6
9119,8.9
13582,6.4
6311,6.1
8703,10.7
1981,12.3
14281,2.5
4295,14.2
10861,14.2
8600,18.6
4304,18.4
2057,21.2
13990,11.5
4919,15.2
13153,4.9
7197,13.7
11730,9.8
11972,17.2
3488,18.2
15079,8.3
11482,17.3
3978,8.2
6913,3.7
11356,6.2
9483,4.3
9194,6.8
5165,5.5
1710,14.1
14516,11.8
6590,3.1
9894,-0.6
562,14.6
13068,10.5
4438,6.7
640,11.1
1669,21.4
3000,3.7
12272,15.7
13708,16.2
8171,13.3
2407,14.6
12860,10.5
3611,3.2
7852,17.6
8161,8.4
14195,7.5
10157,12.4
8740,6.7
4048,8.5
2910,4.1
2742,17.2
11993,11.6
12386,4.0
14569,4.3
10982,4.0
5381,11.8
6884,12.6
2928,1.5
3166,18.7
10937,2.0
8279,15.8
10811,20.3
180,14.1
6020,18.4
5496,3.0
11236,15.9
2218,0.8
6756,15.2
1955,8.9
1057,12.9
15034,9.4
6688,11.4
5830,9.6
12801,8.4
1399,12.4
8694,12.6
10235,10.4
5844,1.4
10764,15.8
3068,14.9
6550,4.0
9648,13.6
2234,-2.6
5081,9.0
13579,3.5
13496,8.2
1210,12.6
8959,21.6
10678,6.8
2238,-0.4
10690,5.2
10994,1.2
2948,3.4
14603,4.9
13589,8.4
5500,9.2
12825,5.4
9586,9.9
13947,12.8
3776,16.5
13450,12.1
5554,5.8
8178,15.6
1434,8.0
15322,5.8
92,3.8
11651,1.3
2300,12.8
8067,2.5
13763,19.8
3844,21.2
13627,7.5
9730,16.4
14817,18.2
11648,6.3
14523,10.3
7780,12.1
14786,18.8
12388,2.5
8241,20.2
3822,21.2
3378,6.1
9572,15.1
1084,-0.4
8953,17.0
2777,16.9
5955,9.0
428,3.6
14042,16.6
9309,19.2
6395,15.6
5040,7.0
8104,12.1
14150,17.8
2698,11.8
6839,15.0
14886,12.1
3478,16.6
6355,11.4
8534,13.8
408,6.4
9851,5.6
13607,11.4
1608,9.8
10673,4.0
14211,4.8
7738,13.9
10427,18.0
4978,15.8
5100,5.1
13979,11.1
5174,2.5
426,8.0
949,16.8
7388,8.5
11576,19.5
3597,4.8
2865,7.9
11124,17.2
10827,15.2
4359,1.8
11659,-0.7
7960,10.0
9863,6.4
6194,4.6
8620,17.9
12755,6.8
1691,23.8
7882,20.7
8027,4.7
9671,21.6
5312,15.7
1421,9.2
6545,7.6
11775,9.7
819,8.2
4843,6.4
4367,1.0
6329,9.0
4269,14.8
9698,17.4
15013,9.5
14140,13.2
9241,8.2
4467,6.5
10122,18.2
409,7.2
1285,22.4
14153,16.1
4035,5.0
4344,4.6
1941,15.1
12138,11.5
1091,2.1
6835,18.0
73,1.8
7145,17.4
13154,8.7
4447,11.2
12246,14.5
15145,17.2
7025,12.4
5372,12.7
291,13.4
6918,12.3
12776,8.7
8426,8.4
3578,15.8
11676,-4.1
5659,17.2
6011,14.0
2089,14.9
11747,4.2
1801,3.0
14071,17.1
12593,13.9
1576,11.6
1110,-1.7
318,4.4
8249,17.8
9432,13.0
13907,6.1
13525,5.2
1825,5.6
3146,19.2
5337,17.2
7202,17.4
3411,13.0
144,9.4
9205,11.0
4786,4.6
8369,13.4
3514,16.6
4828,10.0
14997,7.6
13313,15.3
4501,7.9
9899,7.0
7344,0.8
10654,6.0
10972,4.0
15213,19.4
8455,5.6
7502,21.0
1830,4.0
9174,8.5
85,7.2
4590,19.5
1219,7.5
12848,9.2
14404,17.5
9226,9.3
11721,7.3
8015,11.8
11697,3.5
6067,24.0
6407,17.3
9232,7.5
11603,16.9
11019,8.0
594,18.0
9563,5.2
8482,9.8
8141,7.4
8928,18.1
8974,17.4
7061,11.8
9210,11.0
14876,17.9
14388,14.9
8943,19.0
61,11.0
14812,22.1
10513,15.0
3570,9.4
5412,9.8
10934,3.3
12270,17.0
4028,10.5
14223,1.3
12134,11.9
3728,5.6
12669,13.3
9317,15.3
7220,10.7
13199,5.8
15225,16.0
6281,1.6
12344,14.6
11670,2.8
4738,11.6
532,15.7
958,16.8
472,14.0
7281,6.4
7488,21.0
1513,0.4
2290,8.4
4974,14.7
6259,-0.2
6714,12.2
15228,14.7
1479,3.6
15247,17.1
5151,6.6
2899,7.4
14225,2.3
9674,19.2
10241,7.9
9301,13.3
14339,7.7
10346,14.4
10528,11.3
4509,8.8
5120,6.6
9416,12.3
9803,15.4
10399,16.9
9403,14.6
491,8.2
10328,13.2
12929,11.3
6105,16.8
7844,16.2
8018,7.4
8318,12.4
127,11.2
8485,9.6
10873,12.4
6108,15.1
4339,10.2
3724,8.7
1264,15.4
7975,9.3
13982,10.6
11883,18.8
8256,14.8
13732,19.6
7949,10.2
7136,17.7
10168,5.7
10561,8.8
275,15.7
5225,10.4
14466,15.9
10742,15.6
1272,15.4
12722,10.7
13682,16.6
6134,13.0
8246,23.5
1897,6.0
12395,4.9
13775,17.0
8366,5.4
9993,17.1
12594,16.0
13633,8.4
15064,6.4
11419,9.3
1458,4.2
7453,18.6
8101,9.8
7608,13.2
6459,16.0
3585,14.3
2826,13.8
715,5.0
12067,2.5
6245,-0.4
2973,2.2
13040,16.8
1118,4.6
11612,9.3
6824,18.3
3989,3.2
4750,10.2
1698,21.0
4336,11.8
5444,5.2
2316,9.2
9589,13.2
14365,8.6
4504,6.8
8113,4.2
11848,11.9
2458,15.0
15135,15.3
9000,22.2
7092,16.5
13750,25.5
2174,6.2
13495,8.3
13448,14.9
8131,10.7
12546,15.0
14773,13.8
13811,11.4
1864,6.0
13393,14.3
9988,14.9
13699,16.2
3846,18.8
12132,9.4
1145,4.4
3834,18.4
7250,10.0
14766,14.8
13662,15.6
733,10.4
12274,19.8
11489,15.0
8083,4.6
3282,11.2
2457,17.4
12895,13.0
8387,5.2
13259,11.9
13742,18.6
5902,7.8
1835,5.3
11471,13.5
8798,5.2
9970,11.0
4580,15.9
8217,19.6
4850,11.6
11275,11.8
11951,15.8
12562,7.7
15298,9.2
4717,9.2
5828,3.6
477,9.4
11175,20.3
4739,12.4
13911,8.8
4291,12.1
14475,22.9
8062,4.0
11123,19.2
642,12.2
9736,18.0
6802,23.2
4993,17.2
5703,15.8
14824,19.8
10264,-0.4
11654,-1.6
1793,6.0
1692,21.0
5025,13.8
15229,14.5
13783,14.2
493,8.0
7346,1.1
157,12.0
